sentimen,Tweet
2,Setelah sekian lama covid mlanda negri ini.. Saya jd teringan sebuah film. Tpi sayangnya lupa jdulnya. Intinya ddlam alur cerita film tersebut menggunakan sabun untuk menyebar penyakit/ wabah di suatu negara. Barang kali ad yang tau judulnya. Jd pgn liat lg??
1,Pemerintah sudah berusaha semaksimal mungkin memutus mata rantai virus bahkan sampai geram menangani pandemi ini...Tinggal kitanya sebagai masyarakat mari kita bantu pemerintah kita. Jangan saling menyalahkan! Dimulai dari diri kita sendiri jaga kesehatan??
0,Hari senin kemaren sy harus kehilangan adik sy...dr subuh muter2 bbrp rmh sakit penuh semua..harapan terakhir di rmh sakit polri datang jam 11..sembari cari oksigen..kerena yg terpasang habis....jam setengah 4 sore br dapet oksigen...namun Alloh berkehendak laen...adik sy meninggal di dalam mobil...smoga menjadi perhatian untuk kita semua...khusus nya dinas kesehatan...dan kondisi ini menimpa banyak orang
2,Tentang vaksin  vaksin itu hanya untuk daya tahan tubuh bukan pencegahan   yang terjadi dengan masalah di vaksin jadi sakit atau ada kendala yg lain nya  saat di skrining atau di periksa mereka tidak berkata sejujur jujur nya  misal dia punga diabet tidak bilang ya jelas akan jadi kendala  atau dia punya asma jelas akan jadi masalah  sebelum di faksin itu harus mengisi format yang harus di tandatangani oleh orang yang mau di vaksin
1,Ayo sama sama kita wujudkan program vaksinasi pemerintah agar tepat sasaran sesuai yg telah direncanakan.. Lihat tuh sasaran vakasinasi untuk lansia masih sangat jauh Yang merasa masih muda dan sehat stop latahan pengen buru buru di vaksin kasihan para lansia kita..dari target MALU WOOII
2,Saya sudah 11 tahun dikena Asma tahun 2010 dan penyakit saya bisa disebut penyakit bawa'an. Dan ciri2nya hampir sama corona. Corona muncul ditahun 2019. Jadi Berarti orang yang dikena Covid adalah saya bukan Rakyat Wuhang (China). pertanyaannya jika saya kerumah sakit terus divonis Covid??
0,sy klo cm flu gk butuh minum obat obat itu malah akan membuat penyakit di lain hari  sy klo flu makan bakso ksih lombok tumis 2 sendok hbis makan jngan minum semua yg trhubung THT akn meledak gara2 lombok tumis
0,Alhamdulillah semoga ibu dan keluarga selalu sehat inti nya jgn ampe stress Dan panik.
0,mudah2 bisa normal seperti biasa ammiinn
0,"saya jg lebaran kmrn demam panas dingin  gk selera mkn lidah pahit sy cm minum antangin setelah beberapa hr sy sembuh aroma penciuman hilang sm sekali gk mencium apa2  lidah sy jg klu makan gk terasa apa2 cm sy rajin minum air rebusan jahe sm serai tp sy gk mau periksa kerumh sakit,klu sy kermh sakit pasti dibilang positif,tp Alhamdulillah setelh 4hr semua nya normal kembali,tetangga sy jg puasa kmrn hampir semua ngalamin seperti itu,tp Alhamdulillah gk ada yg mati"
